date,igpm_acc
2005-03-03,44.96494752
2005-03-04,45.00585312
2005-03-07,45.04677025
2005-03-08,45.08769893
2005-03-09,45.12863916
2005-03-10,45.16959095
2005-03-11,45.21055428
2005-03-14,45.25152918
2005-03-15,45.29251564
2005-03-16,45.33351367
2005-03-17,45.37452326
2005-03-18,45.41554442
2005-03-21,45.45657717
2005-03-22,45.49762148
2005-03-23,45.53867738
2005-03-24,45.57974487
2005-03-28,45.62082394
2005-03-29,45.66191461
2005-03-30,45.70301687
2005-03-31,45.74413073
2005-04-01,45.78573802
2005-04-04,45.82735719
2005-04-05,45.86898824
2005-04-06,45.91063118
2005-04-07,45.952286
2005-04-08,45.99395272
2005-04-11,46.03563133
2005-04-12,46.07732184
2005-04-13,46.11902425
2005-04-14,46.16073857
2005-04-15,46.20246479
2005-04-18,46.24420293
